#db_xref_ID|db_xref_PageLink|db_xref_FileLink|db_xref_Comment
#Official site: http://www.ncbi.nlm.nih.gov/genbank/collab/db_xref
CGD|http://www.candidagenome.org/cgi-bin/locus.pl?dbid=%1||Candida Genome Database

CCDS|http://www.ncbi.nlm.nih.gov/projects/CCDS/CcdsBrowse.cgi?REQUEST=CCDS&DATA=%1&ORGANISM=0&BUILDS=CURRENTBUILDS||The Consensus CDS (CCDS) project is a collaborative effort to identify a core set of human and mouse protein coding regions that are consistently annotated and of high quality.

dbEST|http://www.ncbi.nlm.nih.gov/sites/entrez?db=nucest&term=%1&pmfilter_MDatLimit=10+Years||EST database maintained at the NCBI.

dbProbe|http://www.ncbi.nlm.nih.gov/sites/entrez?db=probe&cmd=search&term=%1||NCBI Probe database Public registry of nucleic acid reagents

dbSNP|http://www.ncbi.nlm.nih.gov/sites/entrez?db=snp&cmd=search&term=%1||Variation database maintained at the NCBI.

dbSTS|http://www.ncbi.nlm.nih.gov/sites/entrez?db=unists&cmd=search&term=%1||STS database maintained at the NCBI.

dictyBase|http://dictybase.org/db/cgi-bin/gene_page.pl?primary_id=%1||Dictyostelium genome database

EcoGene|http://ecogene.org/geneInfo.php?eg_id=%1||Database of Escherichia coli Sequence and Function

ENSEMBL|http://beta.rest.ensembl.org/sequence/id/%1?content-type=text/x-fasta|http://beta.rest.ensembl.org/sequence/id/%1?content-type=text/x-fasta|Database of automatically annotated genomic data

EnsemblGenomes|http://ensemblgenomes.org/search/eg/%1||Extending Ensembl across taxonomic space

EPD|||Eukaryotic Promoter Database

ERIC|http://www.ericbrc.org/asap/feature_info.php?FeatureID=%1||Enteropathogen Resource Integration Center

ESTLIB|||EBI's EST library identifier

FANTOM_DB|||Database of Functional Annotation of Mouse

FBOL|||International Fungal Working Group Fungal Barcoding

FLYBASE||| Database of Genetic and molecular data of Drosophila.

GABI|||Network of Different Plant Genomic Research Projects

GDB|||Human Genome Database accession numbers

GeneDB|http://www.genedb.org/genedb/Dispatcher?formType=navBar&organism=All%3A*&name=%1&desc=yes||Curated gene database for Schizosaccharomyces pombe, Leishmania major and Trypanosoma brucei

GeneID|http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=%1||Entrez Gene Database (replaces NCBI Locus Link)

GI|http://www.ncbi.nlm.nih.gov/sites/gquery?term=%1||GenInfo identifier, used as a unique sequence identifier for nucleotide and proteins

GO|||Gene Ontology Database identifier

GOA|||Gene Ontology Annotation Database Identifier

GRIN|||Germplasm Resources Information Network

HGNC|http://www.genenames.org/data/hgnc_data.php?hgnc_id=%1||Human Gene Nomenclature Database

H-InvDB|||H-Invitational Database

HMP|||Human Microbiome Project

HOMD|||Human Oral Microbiome Database

HPM|||Human Proteome Map

HSSP|||Database of homology-derived secondary structure of proteins

IKMC|||International Knockout Mouse Consortium

IMGT/GENE-DB|||Immunogenetics database, immunoglobulin and T-cell receptor genes

IMGT/LIGM|||Immunogenetics database, immunoglobulins and T-cell receptors

IMGT/HLA|||Immunogenetics database, human MHC

InterPro|http://www.ebi.ac.uk/interpro/entry/%1||InterPro protein sequence database

IntrepidBio|||Intrepid BioInformatics

IRD|||Influenza Research Database

ISFinder|||Insertion sequence elements database

JCM|||Japan Collection of Microorganisms

JGIDB|||JGI Genome Portal

LocusID|||NCBI LocusLink ID **Discontinued March 2005

MaizeGDB|||Maize Genome Database unique identifiers

MedGen|http://www.ncbi.nlm.nih.gov/medgen/?term=%1||Human Medical Genetics

MGI||| Mouse Genome Informatics

MIM|http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=%1|| Mendelian Inheritance in Man numbers

miRBase|http://microrna.sanger.ac.uk/cgi-bin/sequences/mirna_entry.pl?acc=%1||miRBase is the new home of microRNA data on the web, providing data previously accessible from the miRNA Registry.

NBRC|||NITE Biological Resource Center

NextDB|||Nematode Expression Pattern DataBase

niaEST|||NIA Mouse cDNA Project

NMPDR|||National Microbial Pathogen Data Resource

NRESTdb|||Natural Rubber EST database

OrthoMCL|||Ortholog Groups of Protein Sequences

Osa1|||Rice Genome Annotation Project

Pathema|||Pathema Genome Resource

PBmice|||PiggyBac Mutagenesis Information Center

PDB|http://www.rcsb.org/pdb/download/downloadFile.do?fileFormat=pdb&compression=NO&structureId=%1|http://www.rcsb.org/pdb/files/%1.pdb|Biological macromolecule three dimensional structure database

PFAM|||Collection of protein families

PGN|||Plant Genome Network

Phytozome|||Plant Genome Network

PIR|||Protein Information Resource accession numbers

PomBase|http://www.pombase.org/spombe/result/%1||Database of Structural and Functional Data for Schizosaccaromyces pombe

PSEUDO|||EMBL pseudo protein identifier

PseudoCap|http://www.pseudomonas.com/getAnnotation.do?locusID=%1||Pseudomonas Genome Database

RAP-DB|||Rice Annotation Project Database

RATMAP|||Rat Genome Database

RBGE_garden|||Royal Botanic Garden Edinburgh Living Collections

RBGE_herbarium|||Royal Botanic Garden Edinburgh Herbarium

REBASE|http://rebase.neb.com/cgi-bin/reb_get.pl?enzname=%1||REBASE: The Restriction Enzyme Database

RFAM|http://rfam.sanger.ac.uk/family?entry=%1||RNA families database of alignments and CMs

RGD|||Rat Genome Database

RiceGenes|||Rice database accession numbers

RZPD|||Resource Centre Primary Database Clone Identifiers

SEED|||The SEED Database

SGD|||Saccharomyces Genome Database

SGN|||SOL Genomics Network

SK-FST|||Saskatoon Arabidopsis T-DNA mutant population - SK Collection

SoyBase|||Glycine max Genome Database

SPTREMBL|http://www.ebi.ac.uk/uniprot/unisave/?query=%1&search=Go||SWISS-PROT protein sequence database

SRPDB|||Signal Recognition Particle Database

SubtiList|||Bacillus subtilis genome sequencing project

SWISS-PROT|http://www.uniprot.org/uniprot/%1|http://www.uniprot.org/uniprot/%1.txt|The Universal Protein Resource (UniProt) is a comprehensive resource for protein sequence and annotation data.

TAIR|||Arabidopsis IR

taxon|||NCBI's taxonomic identifier

TIGRFAM|||TIGR protein families

TubercuList|http://tuberculist.epfl.ch/quicksearch.php?gene+name=%1||TubercuList knowledge base

UNILIB|||Unified Library Database, a library-level view of the EST and SAGE libraries present in dbEST, UniGene and SAGEmap

UniProtKB/Swiss-Prot|http://www.uniprot.org/uniprot/%1|http://www.uniprot.org/uniprot/%1.txt|section of the UniProt Knowledgebase, containing annotated records

UniProtKB/TrEMBL|http://www.uniprot.org/uniprot/%1|http://www.uniprot.org/uniprot/%1.txt|section of the UniProt Knowledgebase, containing computationally analysed records waiting for full manual annotation

UniSTS|http://www.ncbi.nlm.nih.gov/genome/sts/sts.cgi?uid=%1||NCBI UniSTS is a comprehensive database of sequence tagged sites (STSs) derived from STS-based maps and other experiments.

UNITE|||Molecular database for the identification of fungi

VBASE2|||Integrative database of germ-line V genes from the immunoglobulin loci of human and mouse

ViPR|||Virus Pathogen Resource

VectorBase|||Bioinformatics Resource Center for Invertebrate Vectors of Human Pathogens

WorfDB|||C. elegans ORFeome cloning project

WormBase|||Caenorhabditis elegans Genome Database

Xenbase|||Xenopus laevis and tropicalis biology and genomics resource

ZFIN|||Zebrafish Information Network
